,date_service_received,open_or_boarded,vacant_or_occupied,vacant_fire,property_used,zipcode,latitude,longitude
160,1/16/2013,Open,Vacant,False,False,60621.0,41.77747825,-87.64598846
161,1/16/2013,Open,Vacant,True,False,60624.0,41.87885959,-87.72642433
162,1/16/2013,Open,Vacant,False,True,60624.0,41.87880582,-87.73090925
163,1/17/2013,Open,Vacant,False,False,60636.0,41.77670919,-87.67022507
164,1/17/2013,Open,Vacant,False,False,60636.0,41.76780007,-87.66511039
165,1/17/2013,Open,Vacant,True,True,60618.0,41.9366667,-87.71583967
166,1/17/2013,Open,Vacant,True,True,60636.0,41.76767223,-87.6723924
167,1/17/2013,Open,Vacant,False,True,60651.0,41.90234389,-87.71679745
168,1/17/2013,Open,Vacant,False,False,60646.0,41.99241939,-87.72887344
169,1/17/2013,Open,Vacant,False,False,60651.0,41.90323123,-87.74893595
170,1/17/2013,Open,Vacant,False,False,60636.0,41.77753904,-87.67265423
171,1/17/2013,Open,Vacant,False,False,60636.0,41.7765848,-87.67262908
172,1/17/2013,Open,Vacant,False,False,60636.0,41.77672674,-87.67142709999999
173,1/17/2013,Open,Vacant,False,False,60622.0,41.90193309,-87.66745576
174,1/18/2013,Open,Vacant,False,False,60612.0,41.87344351,-87.67381075
175,1/18/2013,Open,Vacant,False,True,60629.0,41.78597206,-87.68626545
176,1/18/2013,Open,Vacant,False,False,60636.0,41.76985073,-87.67244781
177,1/18/2013,Open,Vacant,False,True,60636.0,41.77702966,-87.66542066
178,1/18/2013,Open,Vacant,False,False,60621.0,41.76803056,-87.64691565
179,1/18/2013,Open,Vacant,False,True,60619.0,41.75680215,-87.60128444
180,1/18/2013,Open,Vacant,False,False,60624.0,41.87695564,-87.73621489
181,1/18/2013,Open,Vacant,False,True,60630.0,41.97567131,-87.77638049
182,1/18/2013,Open,Vacant,False,False,60636.0,41.76041969,-87.65982731
183,1/18/2013,Open,Vacant,False,True,60651.0,41.89547709,-87.71462113
184,1/18/2013,Open,Vacant,False,True,60629.0,41.77437154,-87.70594091
185,1/18/2013,Open,Vacant,False,False,60639.0,41.91438215,-87.76385716
186,1/19/2013,Open,Vacant,False,True,60636.0,41.78233971,-87.66428941
187,1/19/2013,Open,Vacant,False,True,60624.0,41.87547152,-87.70914239
188,1/19/2013,Open,Vacant,False,False,60624.0,41.89360063,-87.71869822
189,1/19/2013,Open,Vacant,False,True,60624.0,41.89371048,-87.70798566
190,1/19/2013,Open,Vacant,False,True,60649.0,41.77296567,-87.57525893
191,1/19/2013,Boarded,Vacant,False,True,60622.0,41.90876181,-87.69328848
192,1/19/2013,Open,Vacant,False,True,60636.0,41.78848004,-87.67172206
193,1/19/2013,Open,Vacant,False,False,60620.0,41.74898499,-87.63276987
194,1/20/2013,Open,Vacant,False,True,60632.0,41.79837017,-87.70125553
195,1/20/2013,Boarded,Vacant,False,False,60621.0,41.78389583,-87.64729698
196,1/20/2013,Boarded,Vacant,False,False,60649.0,41.77283721,-87.57525531
