SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,14-00450213,3/30/2014,Rear,,Open,REAR,Vacant,TRUE,FALSE,12248,S,HARVARD,AVE,60628,1176164.451,1823700.83,34,5,53,41.67158749,-87.63088181,"(41.67158749212724, -87.6308818062448)"
Vacant/Abandoned Building,14-00450475,3/30/2014,Front,,Open,"FRONT, REAR, WINDOWS",Vacant,FALSE,TRUE,660,W,116TH,ST,60628,1173890.358,1828218.686,34,5,53,41.68403578,-87.63907169,"(41.684035784572025, -87.6390716906988)"
Vacant/Abandoned Building,14-00444433,3/28/2014,Front,,Open,,Vacant,FALSE,FALSE,1227,W,109TH,ST,60643,1170084.486,1832501.16,34,22,75,41.69587091,-87.65287996,"(41.69587091035163, -87.65287996171494)"
Vacant/Abandoned Building,14-00427519,3/25/2014,Front,,Open,,Vacant,FALSE,TRUE,12325,S,MICHIGAN,AVE,60628,1179067.978,1823257.324,9,5,53,41.670305,-87.62026844,"(41.67030500206571, -87.62026844077774)"
Vacant/Abandoned Building,14-00409907,3/21/2014,Front,,Open,FRONT AND REAR DOORS OPEN,Vacant,FALSE,TRUE,1614,S,SPRINGFIELD,AVE,60623,1150655.66,1891669.231,24,10,29,41.8586367,-87.72247778,"(41.8586367004329, -87.72247777581723)"
Vacant/Abandoned Building,14-00385112,3/18/2014,Front,,Open,,Vacant,FALSE,FALSE,8759,S,ESCANABA,AVE,60617,1196908.379,1847446.958,10,4,46,41.73626005,-87.55417431,"(41.73626005421231, -87.55417431181647)"
Vacant/Abandoned Building,14-00388333,3/18/2014,Front,,Open,FRONT,Vacant,FALSE,TRUE,12144,S,WALLACE,ST,60628,1174500.507,1824359.757,34,5,53,41.67343275,-87.6369523,"(41.67343275417748, -87.63695230298781)"
Vacant/Abandoned Building,14-00390818,3/19/2014,Front,,Open,,Vacant,FALSE,TRUE,10837,S,WABASH,AVE,60628,1178498.578,1833121.491,9,5,49,41.69738665,-87.62205432,"(41.69738664689002, -87.62205432157455)"
Vacant/Abandoned Building,14-00402043,3/20/2014,Front,,Open,SIDE WINDOW,Vacant,FALSE,FALSE,10914,S,VINCENNES,AVE,60643,1167859.956,1832313.14,19,22,75,41.69540289,-87.66103015,"(41.695402889945235, -87.66103015228653)"
Vacant/Abandoned Building,14-00372865,3/16/2014,Front,,Open,FRONT DOOR,Vacant,FALSE,TRUE,10624,S,LANGLEY,AVE,60628,1182794.223,1834657.08,9,5,50,41.70150208,-87.60627872,"(41.701502080341776, -87.60627872465005)"
Vacant/Abandoned Building,14-00362337,3/14/2014,Front,,Boarded,FRONT,Vacant,FALSE,FALSE,10437,S,FOREST,AVE,60628,1180091.879,1835825.63,9,5,49,41.70477092,-87.61613812,"(41.70477091801419, -87.61613812499216)"
Vacant/Abandoned Building,14-00328319,3/8/2014,Front,,Open,FRONT DOOR,Vacant,FALSE,TRUE,341,E,116TH,ST,60628,1180406.657,1827748.061,9,5,53,41.68259774,-87.61523206,"(41.682597744923825, -87.61523205520865)"
Vacant/Abandoned Building,14-00079565,1/16/2014,Front,,Open,,Vacant,TRUE,FALSE,2653,W,ROSEMONT,AVE,60659,1157407.948,1941709.457,50,24,2,41.99581627,-87.69632779,"(41.99581626695575, -87.69632778844687)"
Vacant/Abandoned Building,13-00959179,7/16/2013,Rear,,Open,REAR WINDOW OPEN,Vacant,FALSE,TRUE,3536,W,CORTLAND,ST,60647,1152570.42,1912400.757,26,14,22,41.91548853,-87.71490088,"(41.91548853340914, -87.71490087875186)"
Vacant/Abandoned Building,14-00452362,3/31/2014,Rear,,Open,REAR,Vacant,TRUE,FALSE,10141,S,UNION,AVE,60628,1173428.783,1837618.912,34,22,73,41.70984164,-87.64048456,"(41.70984163599898, -87.64048455885715)"
Vacant/Abandoned Building,14-00420398,3/24/2014,Front,,Open,DOOR AND WINDOWS BROKEN OUT,Vacant,FALSE,FALSE,9654,S,UNION,AVE,60628,1173340.757,1840840.915,21,22,73,41.71868522,-87.640712,"(41.718685220955194, -87.64071200201693)"
Vacant/Abandoned Building,14-00399889,3/20/2014,Front,,Open,FRONT,Vacant,FALSE,FALSE,8033,S,SANGAMON,ST,60620,1171371.779,1851565.244,21,6,71,41.74815752,-87.64761074,"(41.74815751539784, -87.64761073552313)"
Vacant/Abandoned Building,14-00409409,3/21/2014,Garage,,Open,GARAGE IS OPEN AND THERE IS A SCHOOL IN THE AREA,Vacant,TRUE,TRUE,9325,S,WALLACE,ST,60620,1173941.663,1843044.158,21,22,73,41.72471794,-87.63844596,"(41.724717938832605, -87.6384459615209)"
Vacant/Abandoned Building,14-00384412,3/18/2014,Rear,,Open,,Vacant,FALSE,TRUE,9522,S,PRINCETON,AVE,60628,1175957.625,1841786.055,21,5,49,41.72122064,-87.63109912,"(41.72122064019547, -87.63109911632755)"
Vacant/Abandoned Building,14-00397667,3/20/2014,Front,,Open,"FRONT, REAR AND GARAGE DOOR",Vacant,FALSE,TRUE,9034,S,LOWE,AVE,60620,1173556.999,1844930.845,21,22,71,41.72990378,-87.6397993,"(41.729903778811476, -87.63979929992094)"
Vacant/Abandoned Building,14-00458751,3/31/2014,Rear,,Open,,Vacant,FALSE,TRUE,3321,N,KEATING,AVE,60641,1144242.671,1921661.586,30,17,15,41.94106186,-87.74526323,"(41.94106186177921, -87.74526322968146)"
Vacant/Abandoned Building,14-00458814,3/31/2014,Front,,Open,FRONT AND REAR DOORS AND WINDOWS,Vacant,TRUE,TRUE,5962,W,IOWA,ST,60651,1136494.375,1905388.007,29,15,25,41.8965476,-87.77413158,"(41.8965476004947, -87.77413158348237)"
